City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,merizo village,13.2658,144.6691,30.55,86,100,3.62,GU,1698275394
219,hermanus,-34.4187,19.2345,15.6,81,100,3.17,ZA,1698275395
220,puerto armuelles,8.2833,-82.8667,27.87,84,100,0.45,PA,1698275397
221,altai,46.3722,96.2583,2.18,20,2,2.32,MN,1698275398
222,huilong,31.8111,121.655,18.29,85,22,1.05,CN,1698275399
223,quellon,-43.1167,-73.6167,10.66,76,77,1.26,CL,1698275230
224,thompson,55.7435,-97.8558,-1.91,64,75,4.12,CA,1698275295
225,ust-nera,64.5667,143.2,-22.24,98,89,1.27,RU,1698275403
226,puerto deseado,-47.7503,-65.8938,18.01,30,14,8.45,AR,1698275404
227,hithadhoo,-0.6,73.0833,27.73,77,49,7.07,MV,1698275405
228,okhotsk,59.3833,143.3,-10.77,80,24,5.4,RU,1698275407
229,flying fish cove,-10.4217,105.6791,25.82,83,100,4.12,CX,1698275409
230,bom jesus,-9.0744,-44.3586,29.49,45,58,1.46,BR,1698275410
231,mpulungu,-8.7623,31.1141,25.71,61,91,0.73,ZM,1698275411
232,tanjung pandan,-2.75,107.65,25.19,85,15,2.61,ID,1698275413
233,isla vista,34.4133,-119.861,23.47,73,40,4.63,US,1698275414
234,kongsvinger,60.1905,11.9977,1.37,88,99,2.51,NO,1698275415
235,westport,41.1415,-73.3579,19.36,75,0,2.06,US,1698275381
236,bagan,54.1001,77.6646,10.19,74,100,8.14,RU,1698275417
237,nova sintra,14.8667,-24.7167,24.23,75,80,6.8,CV,1698275418
238,luau,-10.7073,22.2247,19.71,90,100,1.9,AO,1698275420
239,bima,-8.4667,118.7167,27.24,67,13,1.59,ID,1698275421
240,saint croix,17.7397,-64.7388,27.25,85,20,2.06,VI,1698275422
241,iskateley,67.6803,53.1512,-3.88,87,100,3.58,RU,1698275423
242,longyearbyen,78.2186,15.6401,-6.09,79,0,4.12,SJ,1698275424
243,toliara,-23.35,43.6667,23.96,88,53,4.99,MG,1698275426
244,shingu,33.7333,135.9833,16.07,71,0,2.09,JP,1698275427
245,mohr,54.3528,9.7167,10.08,94,100,4.12,DE,1698275428
246,tindouf,27.6711,-8.1474,22.27,21,0,2.31,DZ,1698275429
247,otelu rosu,45.5333,22.3667,16.91,58,100,1.55,RO,1698275430
248,kuressaare,58.2481,22.5039,3.3,86,100,8.49,EE,1698275432
249,chonchi,-42.6128,-73.8092,13.56,77,68,1.65,CL,1698275433
250,kharkhorin,47.1975,102.8238,4.82,24,3,3.68,MN,1698275434
251,acapulco de juarez,16.8634,-99.8901,27.76,80,97,2.54,MX,1698275435
252,saudarkrokur,65.7461,-19.6394,1.19,81,80,2.33,IS,1698275436
253,naryn,41.4287,75.9911,5.27,50,68,3.16,KG,1698275437
254,sao gabriel da cachoeira,-0.1303,-67.0892,28.4,65,82,0.65,BR,1698275402
255,illizi,26.4833,8.4667,27.1,18,100,0.71,DZ,1698275440
256,guerrero negro,27.9769,-114.0611,21.16,62,0,6.83,MX,1698275441
257,mahibadhoo,3.7833,72.9667,27.62,78,49,4.82,MV,1698275442
